"Sentiment_Score","Tweets","Sentiment_level.score","Sentiment_level.text"
  1," it is sooooo evident how nervous you are getting and it is sooooo delicious lol",Positive,
 -1," pathetic ",Negative,
  3," trump your lack of action on russia like imposing sanctions shows your guilt wasnt the fbi dropped the ball because of russia you dropped the ball for letting nra support you and youll see when the elections come time anybody with the nra supporting them will not hold office",Positive,
 -1," youre squirming so badly its sad fullblown panicmode this is delightful ",Negative,
 -3," delusional desperate sad man",Negative,
 -1," isnt this tweet slander",Negative,
  0," doyoulikeosushi",Neutral,
  0," b",Neutral,
  0," he forgot or just didnt lie",Neutral,
  0," uranium one maga ",Neutral,
 -2," msc stznsiko  korrigiert das bekenntnis von ussicherheitsberater mcmaster wonach die belege fr russlands einmischung in die wahl mit der fbianklage jetzt unbestreitbar seien",Negative,
  0," i am pretty sure you covered just about every conspiracy theory on that tweetoh wait you forget pizzagate",Neutral,
  1," china city nanjin qqpeople cannot talk about anything to china",Positive,
 -1," desperate donny tweets again",Negative,
 -5," fake news again you invited the russians to hack its on camera dumb ass you told them you were going to run before the election so they could prepareyoure done donnie boy its over",Negative,
  1," according to   msm etc if youre innocent youre supposed to shut up and not tell anyone",Positive,
 -2," uh oh donnie is having a melt downi am guessing some new bombshell is about to explode seems to be the pattern when ever this loser starts on hillary and dnc",Negative,
 -2," u are so lost donnie  you have no inner compass at all sad",Negative,
 -1," so insecure",Negative,
 -1," general mcmaster outlined an attack on our country you fool",Negative,
 -2," jesus you really do sound desperate deflect blame deny not going to help you old man hes going to expose you for the faker you are eventually i cant wait  ",Negative,
  1," can you please say something anything  about the fact that russia attacked our democratic process not everything is about you the blue wave is coming for you  bluewave",Positive,
  1," the best thing about todays tweetstorm is knowing that youre freaking out about these indictments  the walls are closing in on you donnie",Positive,
 -2," they say if your thinking in the past youve got depression if your thinking of the future your suffering from anxiety think of the now be more mindful to your words and do something good",Negative,
  0," the entire world knows you are a liar and a pig trump is the most hated president ever  thats going to look nice in the history books",Neutral,
  2," no one believes you trump you have zero credibility on top of that whether or not the election was affected isnt important why are you blocking sanctions against a foreign power that meddled in our election",Positive,
  1," fire him  then investigate him",Positive,
  0," huh",Neutral,
 -1," so you think russia did this for hobby or sport you really are a fucking moron whether it was dispositive or not isnt easy to establish with accuracy i think it was but of course it had an impact everyone knows you are illegitimate",Negative,
 -4," sadly weve known that it wouldnt be long before fakepresident will have returned to degrading and humiliating usa with pathetic orange whining",Negative,
 -1," mr ostrich ostrich impeach",Negative,
 -2," the demented tweets of a desperate man",Negative,
  1," the investigation is ongoing  theres clearly some effect on the us election system originating from your colleagues in russia",Positive,
 -3," you silly desperate little mantrumprussia",Negative,
  1," im pretty sure he didnt forget it ",Positive,
  0," trumps budget  cuts medicaid by  trillion cuts social security by  billion cuts medicare by  billionno one can argue with a straight face that our nation is made stronger by cutting these priorities families and seniors will suffer this is immoral",Neutral,
  3," you mean he forgot to put words in dojs mouth that they never said not everybody misquotes others without regard for honesty or integrity don you traffic is unsubstantiated allegations thank god our democratic system does not you are a disgrace",Positive,
  0," he didnt forget to say it he just didnt say it because he didnt want to be like you and lie",Neutral,
  1," man that word collusion is really stuck in your head is this the only word you know wow",Positive,
  6," i thought rino s had good memories thank god for big boss president trump to set the record straight",Positive,
  0," i apologise what i meant to say was choke on something please forgot my manners momentarily",Neutral,
 -2," frightened little man keep tweeting",Negative,
  1," how was your last result on the green",Positive,
 -1," how dumb can you be uranium wtf are you taking about wheres your wife",Negative,
 -2," perhaps he meant to leave that out so as not to spread fake news",Negative,
  3," fire chris wray and offer his job to pam bondi she will get rid of all the corrupt bastards in the fbi and show session how a real man should do his job",Positive,
  4," if you say it enough your base will believe it but the rest of us never will stop deflecting",Positive,
  0," no he said that they had no proof of impact so it could still be true just wait and see",Neutral,
  0," your a total and complete  sfi",Neutral,
  4," why are you so terrified of russia what are you hiding the truth will march on",Positive,
  0," pinche mentira",Neutral,
  0," thats like  tweets about the russia thing youre sooooooooo guilty",Neutral,
  2," worried much  you been tweeting for  days making sure we know you are a legitimate president hiding something ",Positive,
 -3," you are severely mentally ill you still are talking about clinton instead of the  people you and your fellow republicans murdered resign go away leave the wh wecallthisbs",Negative,
 -1," someone sounds guilty",Negative,
  0," is that the dossier that says u like being pissed on dirty",Neutral,
  0," you forgot to say that you will be imposing sanctions against russia for interfeeeu gvwith our elections and that you will be implementing common sense gun laws right away and that you will be releasing your taxes and that you are sorry for making america an embarrassment",Neutral,
  2," youre working yourself up into a right tizzy",Positive,
 -1," you are so busted",Negative,
  0," description of you  years ago  ",Neutral,
  0," you are so crazy the russians could not have asked for  a better puppet to try and destroy our democracy and our unity",Neutral,
 -4," its time we stop the outlandish partisan attacks wild and false allegations  farfetched theories which only serve to further the agendas of bad actors like russia  do nothing to protect the principles of our institutions  trump practice what u preach asshat",Negative,
 -1," forgot or wouldnt he has to be getting tired of you making him look like an asshole",Negative,
  2," you sound like a russian botdickhead",Positive,
 -1," i used to think that you were deliberately misleading people but ive come to believe that you genuinely dont understand whats going on",Negative,
 -4," go to bed we need a break from your stupid twitter rants",Negative,
  2," better have your maid buy some extra clorox for your whitey tidies donnie bet they are needing it",Positive,
 -2," i missed ur wife walking to marine one with u is she ok stormy weather maybe",Negative,
 -4," mcmasters didnt forget he choose not to lie you should try it life is easier if you dont have to keep up with all the lies besides youre bad at it  how is that relationship with putin that you used to brag about oh thats right it was all a lie  ",Negative,
 -5," shut your lying russiaputin loving traitorous ass up youre pathetic and a total disgrace your corrupt ass and your corrupt family and cronies will not come out of this investigation unscathed",Negative,
 -2," lmfgao your attempts to distract are not working  you are a fucking idiot",Negative,
  0," theyre coming for you",Neutral,
 -1," is this crazy tweeting because you want us to believe you were an unwitting accompliceits not working",Negative,
 -1," hows your golf weekend going you loathsome piece of shit families are planning funerals for their children in the meantime fucker",Negative,
  0," the russian probe really is getting to you eh ",Neutral,
 -2," your breath must stink with the amount of shit you speak",Negative,
  2," wow mr pwezident everyone except putin how patriotic maga",Positive,
 -3," you are a traitor  illegitimate president  you are the reason  of us have insomnia you attack americans not putin who waged cyber war against america  you are toxic to the world  you will be held accountable  you are a po  hmmm guess it really is all about you",Negative,
  0," all debunkedget ready for prison",Neutral,
 -1," little donnie you colluded with your friend putin the facts are out but you think if you keep repeating your lie it will become fact dont forget americans are not that dumb alternativefacts",Negative,
  0," impeachmentiscominglockhimup ",Neutral,
 -1," mr president ask robert mueller if he will investigate the dirty dealings of fraulein hillary start with benghazi uranium one and the  or more deaths that came to poor bastards who got too close to the clintons",Negative,
 -3," still not one word condemning the act of war conducted by a hostile power the commanderinchief has one thing in his filthy mind escape through the cracks im not making this up he keeps repeating and repeating and repeating it over and over again like a broken record",Negative,
  1," god man you are so full of lies how do you sleep",Positive,
  1," trump election was not impacted by russian meddling ",Positive,
  2," hey treasonweasel president  has a new follower isnt that grand ",Positive,
 -1," you are starting to sound desperate dumptruckfuck very desperate",Negative,
  1," mister president you must hold them all accountable",Positive,
 -1," shut the fuck up donny go feed the gators",Negative,
  5," yeah no not at all donny we can all read putin helped you bigly to get the job he wanted an idiot in the wh and you are doing a fantastic job to prove him right oh and donny google  impeachit comes just before seeking new mistress",Positive,
  1," how do you know the effect the russian had on elections  anyhow it does not matter does itwhat are you going to do to protect voting",Positive,
 -1," a little unglued are we",Negative,
 -2," your nsa is an adult and chose his words himself  he does not need you to speak for him",Negative,
  3," i love it that we can tell the difference between those that try to make you sound rationale and those that show the real you whinertrump dumptrump",Positive,
 -1," bro you really are the dumbest criminal in history trump collusion trump collusion trump collusion trump collusion trump collusion trump collusion trump collusion trump collusion trump collusion trump collusion trump collusion trump collusion trump collusion trump collusion",Negative,
 -1," is this what putin is wanting you to tweet   desperate trump",Negative,
 -1," in denial",Negative,
 -3," nice try mueller is still coming this rubbish youre vomiting from your oversized piehole only plays with your deplorable base",Negative,
 -1," late night tweeting nownervous huhticktock muellertime",Negative,
 -2," choke on something asshole",Negative,
  0," you can run but you cant hide",Neutral,
 -1," yes we remember we even couldnt find anything but the fake news set up by russia against hernone of it has ever been found to be trueexcept for donalds russian buddies and croniesi think  people chargeddeny deny denydoesnt make it true",Negative,
 -2," you pathetic sweaty flatulent gremlin",Negative,
 -1," forgot there was collusion ",Negative,
  0," putinspuppet ",Neutral,
  0," well get round to that but were mainly talking about the kids being killed in schools topic now ask them about it",Neutral,
 -3," why do you waste your time o this shit who is the dr strangelove of your advisors fire him her or resign",Negative,
  1," methinks thou dost protect too much",Positive,
  0," here we were thinking the troll farms were somewhere in russia turns out theyre inside the white house",Neutral,
  1," you are truly one of the dumbest people around",Positive,
 -3," saying so now would cause mass confusion youll get your two week notice soon ehough dipstick say hi to karen macdougal and stormy daniels loser",Negative,
 -2," cant sleep donnie obsessing over whats going to happen to you your family and cronies  what or who melanie is going to do while youre in prison or worse worrying about inevitable asset siezure  now now  itll do your oversized heart good to come cleanl ",Negative,
 -2," trump away for the weekend with his family and he spent most of his time tweeting lies how pathetic",Negative,
  0," youre sickening and america is not even my country",Neutral,
  1," will you please go back to your russian pee pee hookers porn star or playboy playmate honestly i cant take another no collusion tweet",Positive,
 -6," lmao yeah i remember nothing happening with all those save space on your desk for your indictment fat orange fuck with mini sausage fingers ugh melania never wants to see your dirty dick ever again raw doggin porn stars lol msnbc cnn resist",Negative,
  1," of course whatever you say  so let me ask a question when will you enforce russiansanctions remember they colluded with hillary mean russians didnt they hurt your feelings isnt vladimir your best friend sad",Positive,
  3," its obvious you dont understand how our government works god help us",Positive,
 -1," youre all done loser",Negative,
  0," lets not rush to judgment",Neutral,
  1," i dont believe that for a second just like the media everything you say is fake news dont believe any of it",Positive,
  0," they were otherwise you would not have to repeat it every  minutes for since nov  ",Neutral,
  0," dems are american real enemy",Neutral,
 -1," sack him",Negative,
  0," he didnt forget to say that his military code prevented him from lying and saying what you just tweetedyoure aware that your gop congress approved sanctions on russia almost unanimously why are you stalling on implementing themwhy will you violate your oath for russia",Neutral,
  0," lets go mr president the people are with you dont let these dem traitors get away with their deceptions and traitorousness ag sessions needs to bring his a game",Neutral,
 -6," i see the hate and subversion is strong on this tweet perhaps you all should look at the evidence without the hate and bias in your hearts you need to let go of that crap  its hurting your souls",Negative,
 -1," fire that bastard",Negative,
  2," yes because russia and hillary worked together to not get her elected makes about as much sense as trumps hair or marital life",Positive,
  1," now lets prosecute the clintons and all the others involved time to prove to america those scoundrels arent above the law",Positive,
 -3," you take batshit crazy to whole new levels a miasma of fear surrounds your every desperate psychotic tweet",Negative,
 -1," i continue to think that you are either delusional or the biggest liar in presidential history  your screams of democrats and hillary are obvious attempts to deflect from the truth youre guilty  resign now  impreachtrump",Negative,
 -6," trumps lack of selfawareness is stunning does he not know his stupid embarrassing tweets are his biggest tell donald step away from the phone the die is cast youre dead lie down",Negative,
 -1," mcmaster didnt forget he was trying to be honest",Negative,
 -2," youre trying too hard trumplethinskin its not a good look is mueller getting too close",Negative,
  2," the results were not impacted or changed not by even  vote youre a good con man donnie but no one believes that",Positive,
 -1," please go to bed and stop embarrassing yourself mueller is coming youre going down your family is going down and these late night tweets prove you know it and are completely freaked out its fun to watch but id rather have you do something",Negative,
  0," youre desperation is showing trump",Neutral,
  1," you have a big pile of butter on your head  it amazing",Positive,
 -1," maybe he left it out on purpose maybe he didnt want to lie",Negative,
 -2," lying donald douchebag ",Negative,
  2," all i hear is russia this russia that why do t you focus on the country your leading",Positive,
 -1," no collusionis the new i am not a crook",Negative,
  1," quite often those who profess their innocence so passionately are guilty of the alleged crime got something to hide mr president",Positive,
 -1,"  is a traitor muellertime russiancollusion",Negative,
  0," he didnt want to lie he knows bobby sticks will make sure he dies in prison if he lies and no one is willing to do that for  not even the russians or ivanka",Neutral,
  1," amen brutha",Positive,
 -1," you really sound pathetic and crazed ",Negative,
  1," mr president    keep hitting  line drives",Positive,
  1," sry for the swearing but we have known this before you even won and nothig has happened lol come on broken record at this point",Positive,
 -1," ok so then where are the indictments from sessions oh thats right he is busy crying over cannabis",Negative,
 -3," did the american people realise they were electing a toddler when they voted in  everything is always someone elses fault  hillary obama etc imagine being rubbish at your job and trying to blame the previous guy or someone who didnt get past the interview",Negative,
 -4," lets not forget hillary and obama interfering in other countries elections remember if the dems accuse they are guilty of that crime literally donkeys",Negative,
 -1," you are a disgrace and embarrassment to your country mr trump",Negative,
  0," i dont think he forgot anything it just isnt true more lies all you do is lietrumplies impeachtrump fakepresident",Neutral,
 -1," do you ever feel shame about yourself and your tweetsguess not",Negative,
  1," general mcmaster forgot to say that mueller isnt finished yet",Positive,
 -2," prove it sign the russian sanctions  unanimously passed by your corrupt   congress n still u waver  btw the ppl r not buying yr cockamamie tweets so cut it out and sign the russian sanctions only a traitor wd not",Negative,
  2," donald have some respect stop calling hillary crooked hillaryits not amusing it is rude  petty please bring dignity to the presidency  stop name calling its not appropriate for the highest office in the us gov do you know what your job is its to be presidential",Positive,
 -1," you sound scared but then again you should be scared",Negative,
 -4," he did not forget you are just a simple delusional malignant narcissistic liar living in your own little universe of mega crazy ideas",Negative,
  0," stop projecting",Neutral,
 -1," panicking much trumpbiggestfailureinusahistory traitortrump treasonoustrump jailtime for putinspuppet ",Negative,
  1," more fakenews from the biggest source of it    thanks adolf trump",Positive,
 -2," when is crooked hitlery and comey going to jail",Negative,
  0," consciousness of guilt on full display once againimpeachtrump lockhimup for treason",Neutral,
  1," people have lots there lives and this is all you care about right nowchange these laws your the freaking president",Positive,
 -1," why r u playing all ur old favourites at onceu worried",Negative,
  0," that is all exactly as true as your claim that your inauguration had more people in attendance  shut up and stop lying",Neutral,
  3," hush just hush",Positive,
 -3," the words of a guilty lying president douchebag",Negative,
 -2," you forgot to say its soros versus putin nothing to do with countries causing all the strife",Negative,
  0," trump youre a fruit cake every conspiracy theory you just mentioned has been disproven stop with the lies",Neutral,
  1," this is not how an innocent person acts",Positive,
  1," jeez just stop blaming everyone else already",Positive,
 -2," liar liar pants on fire you jag off  we see you",Negative,
  0," the real  collusion",Neutral,
  1," donald trump forgot to say he chugs putins cum by the gallon ",Positive,
 -3," youre grasping at straws you are scared and these desperate tweets are truly pathetic",Negative,
 -2," how the fuck would mcmaster know shit bag",Negative,
 -2," remember fake news is proven to be russian propaganda rebranded by an american dictatorwanttobe time to stop using it for your twisted purposes traitortrump donthecon putinsmark resigntraitor",Negative,
  0," the real collusion ",Neutral,
 -2,"  why dont you let mr mcmaster state that if he believes that mr mcmaster didnt state it because he doesnt believe that statement to be true since you are already down the rabbit hole you are going to do anything you can including lying and deceive anyone you can",Negative,
  0," hey new ventriloquist act idea",Neutral,
 -1," reeks of desperation",Negative,
 -1," also dont forget the many trump family members who lied over and over and over again about their  meetings and contacts with russia",Negative,
 -1," keep up your shitty lyingmany sadly buying",Negative,
  5," just like the nunes memo this indictment has nothing to do with you and all your distractions wont help you  the bright side is that you will be a named defendant soon enough",Positive,
 -5," you are ridiculous with your poor attempts at distracting from your treasonous actions you sound like a guilty manchild yeah the dirty dossier is true you are a sick animal and deserve to be locked in a cage you cant buy your way out of this one dumbass",Negative,
 -2," he did not want to add that lie he is not  sarah the lying  press secretary",Negative,
 -1," you have the worst hair i have ever seen",Negative,
 -2," i would think mcmasters could totally speak for himself and doesnt need his boss to lie on his behalf ",Negative,
 -1," dear mr presidentyoure collusion is showing me thinks doth protest too muchsincerelyamerica",Negative,
 -1," asshole the dems are a large majority of the country that didnt vote for you hillary clinton isnt crooked uranium one emails all debunked nonsense its scary that you a person in the office of president actually believe alex jones hannity fox news",Negative,
  1," you seem upset is everything ok are you getting good rest",Positive,
 -2," sad to say we are now adding coward to your list of identifications ",Negative,
 -1," you seem nervous",Negative,
  0," i think mcmaster said exactly what he wanted to say",Neutral,
 -3," do us all a favor  choke to death on a big mac  while youre at it have a massive stroke and shit yourself on national television  you are a massive shitstain on america  child molester  money laundering asshole  fuck you",Negative,
  0," thedossieristruthyou sickbastard",Neutral,
 -3," he didnt forget he just didnt say all of this crap because hes not a lying sack of shit like you",Negative,
  0," power russia and her leaders",Neutral,
  0," oh general mcmaster please take this bait and just eviscerate this horrible facsimile of a president",Neutral,
 -2," yeah we know the russians did impact votes but keep talking you are your own worst enemy",Negative,
  2," mister president you must hold them accountable please call us marshal dusty pearce he is a friend ",Positive,
 -2," he didnt forget to say that he does not know that to be true you are pathetic",Negative,
  0," ur a very weak leader",Neutral,
 -4," you obviously forgot to read the actual indictment mcmaster said all that had to be said hrc would need to be as stupid as you to collude on these adverts ",Negative,
  0," maga fools",Neutral,
  3," dude you must be squirming right now knowing whats coming for you thats ok mueller will take care of you ",Positive,
  1," just begin to pack your bwlongings already",Positive,
  0," waiting for chapter  first chapter such a cliff hanger more to come",Neutral,
  0," remember reality chronological order of events and that youre a nut bag",Neutral,
  0," fire mcmaster fire him now",Neutral,
  0," you know he knows",Neutral,
  4," so now youre finally admitting that the russians interfered with the  presidential election after your intelligence agencies told you this a long time ago in  will you also admit that grass is green too",Positive,
  2," another tweet from our fearless leader  how many days since you met the press  ",Positive,
 -1," lol desperate much",Negative,
 -3," he didnt forget he said everything he wanted to say and didnt lie on your behalf what are you going to do to defend us against ongoing attacks from russia enforce sanctions now",Negative,
  0," no he didnt otherwise he would have said it",Neutral,
  0," the troll robot is clearly short circuiting just missing benghazi emails and birth certificate to complete the dementia racists best hits",Neutral,
  2," wow  now youre pulling out the big guns might as well add area  to your list  i see an orange onsie and tiffany style silver bracelets in your futurewillwebenext resist",Positive,
  5," mcmaster  the rest of the nation have gotten passed the last election youre the only one still talking about it in fact youre the only winner who cant just accept it  move on you show your ignorance everytime you speak you like the title but not the work",Positive,
  0," remember your statements on campaign russia if your are listening we love wikileaks no meddling  could be china fat guy in basement  you put spotlight on yourself  russiansanctionsnow",Neutral,
  1," a real leader stands on his own merits  never points his finger at others for his weakness an inability to leadpresident obama showed america and other nations what america isyou have proven to be americas shame  america does not respect unor do other nations",Positive,
  0," general mcmaster is a gobalis pawn and you still have that idiot there dont you get it hes no with you why surround yourself with people that arent with you like him royally fucked it there",Neutral,
 -2," children are getting killed in schoolyards and all youre bothered about is yourself",Negative,
  0,"      ",Neutral,
  1," you open your mouth and liesexcrement pour out  every time",Positive,
  1," okay you can stop reaffirming that you are an idiot that is quite clear",Positive,
  1," go to bed old man shut your pie hole obama got  million tweet likes on his tweet his ratings were better than yours",Positive,
  0," on the contrary idiot its pretty safe to say that you are an illegitimatepresident and an orangeblubberyfool  whoops forgot putinspuppet ",Neutral,
  0," remember the last time you had a press conference remember the last time you tried to fire mueller remember when you tried to obstruct justice by asking if everyone was on your side remember selling a russian oligarch your florida mansion",Neutral,
  1," rotflmaoare you really this stupidcome on alreadywe all see your guiltyour not convincing anyone anymorethe only deplorables left are russian botsso sthu and resignlockthemuplocktrumpup more muellerindictments comingthey r gonna call it tinyliartrumpadick ",Positive,
 -1," me thinks the lady doth protest too much",Negative,
  0," sheeeesh can you just die already",Neutral,
  0," you should fire him",Neutral,
  0," you know for someone that insist did nothing wrong you sure act like someone that is not guilty mueller keeping you up at night",Neutral,
  2," do you uhhh plan on uhhhh enforcing the sanctions anytime soon better yet will putin let you",Positive,
 -2," you are so freaking desperate its palpable",Negative,
  1," oh no did the general forget to lie for you up late tonight bad dream thats understandable with all those pesky facts coming back to haunt you are you even giving the dossier a nickname now russiancollusion implementrussiansanctions",Positive,
  0," you arent really presidentillegitimatepresident",Neutral,
  0," yeah he forgot  you keep thinking that lol",Neutral,
 -1," are off your fucking meds mcmaster didnt forget he wouldnt lie just because you do unlike you general mcmaster is an honorable man youve got nothing but debunked conspiracy theories and a special prosecutor up your yuuge ass",Negative,
  1," your strategy will fail justic an the truth will win nobody but stupid trumpers believe you the resistance russiacollusion",Positive,
 -2," collusion does not have to be capitalized unless you are beginning a sentence w it  bluetsunami indictments",Negative,
  0," you are a disgrace to the office your tweets are juvenile and do nothing more than expose that you are scared thank you for not being smart and keeping your yap shut makes it easier for mueller and keeps people beyond your base from supporting you maga resign",Neutral,
 -2," you are truly a criminal that needs to be placed under the jail you are digging your own hole one tweet at a time",Negative,
 -5," well fucking do something then im fucking sick and tired of hearing it nothing is happening  granted a lot of stuff has happened but this fucking russia thing is starting to piss me off seriously",Negative,
  0," go to bed",Neutral,
  1," trump continues acting like he is guilty",Positive,
  0," wow you are on a roll something got your knickers in a twist",Neutral,
  1," america keeping focused donnycollusion money laundering election fixingno russia sanctionelection fixingtax dodgingdraft dodgingadultery fornicationsupporting racismdirectly promoting gun violenceinsulting our veteransperjuryobstruction of justice",Positive,
  0," he did not forget donthecon and neither will we",Neutral,
  0," oh stop  trump is just sounding desperate now",Neutral,
 -1," u r insane",Negative,
  0," the desperation in your tweets are very clear the world is watching your political career fall apart you wont just be remembered as the worst president youll be remembered as the worst american",Neutral,
 -2," didnt chump jnr admit hed love it if there was dirt how is that not collusion youre losing the plot don",Negative,
  2," i dont think he forgot to say that  there was nothing in the indictments that said anything like that  not sure where you get your data but id double check it  i think someone is feeding you baloney",Positive,
 -1," whats the matter bro you scared",Negative,
  1," yeah sure great argument but maybe did you have some shall we say embellished the emails of  and that thing to get your way",Positive,
 -2," the noose is tightening and your getting scared lol",Negative,
 -1," send them all to gitmo and throw away the damn keys",Negative,
  0," bye donney like a person with dementia repeating himself while everyone looks on and tries not to laugh",Neutral,
  0," russiacollusion  is attempting to bully lieutenant general h r mcmaster and the fbi in reply to the russianindictments who is your enemy mr president ",Neutral,
 -4," your endless attempts to scuttle the investigation to muddy the waters and to pander to the ignorant andor corrupt people who voted for you will fail we shall overcome",Negative,
 -2," he didnt forget to say it he didnt say it because he knows the election was in fact impacted by the guys who hold the loan titles to most of your properties this man was serving our country while you were skipping out on all of those failed businesses and marriages",Negative,
  1," general mcmaster forgot to say that hes working for a treasonous scumbag benedictdonald sanctionsnow",Positive,
  2," contrary to you donald macmasters knows his job you should really read his dissertation about vietnam  you might learn something",Positive,
  0," well now dotard we have to stop meeting this way you know that the indictment did not say that nor did it say your russian campaign did not affect the outcome it said that there was no evidence of impact being alleged in this is where it gets trickythis indictment",Neutral,
  3," the president and the first lady will be at the royal wedding thankyou president obama",Positive,
 -5," and the soros child molesting pizza company do not forget the email hiding globalists who forged obamas birth certificate and put schizophreniainducing drugs in bait fish for unwitting seals to consume im having problems constructing sentences the conspiracy is so bad",Negative,
  0," we arent fools you sir are the colluder in chief and no matter how many times you say otherwise you would have been the loser by  million votes had you been running for any office other than president please sit down and shut up",Neutral,
  0," sleepy weepy pwesident",Neutral,
  3," respectfully sir this gen has never been on the maga team  replace him with a true patriot now",Positive,
 -3," a real president would be more concerned that this happened  want  do something stop it youre only concerned with your image you dont care about the nation or its securityyour ego is destroying our democracy you are the most ignorant pres in modern history bigot racist",Negative,
 -1," what a load of shit are you speaking for somebody else or have you been watching hannity again but i can tell you have not read the indictment papers and yes they were impacted my god you really dont understand much",Negative,
  0," just more dirty laundry get out the hip waders its getting deeper by the minute",Neutral,
 -1," shut the fck up already idiot fake president",Negative,
 -1," remember stormy daniels and karen mcdougal",Negative,
 -1," resign donald theres not getting out of this",Negative,
 -1," mcmaster didnt forget to say  he didnt say because he knows its not true  unlike trump he tries not to lie",Negative,
  1," remember all those things you blame hillary for were found to be fake mueller is coming for you you wont last long once he turns his sights on you this is just the start and you will be gone in the end",Positive,
 -1,"  did he forget to say it or did he deliberately not mention it its not the st time he has made comments",Negative,
  0," so salty",Neutral,
  0," your a dbag donnie",Neutral,
 -3," you dont know that   dirty dossier you mean the one that features the peepee tapes and keeps being proven more and more true  resign now before they drag you out",Negative,
  2," general mcmaster said  ive about had it with girtherboy when will someone tell him hes an illegitimatepresident",Positive,
  1," actually i remember the one hundred and thirty stooges without security clearance in your admin viewing classified material",Positive,
 -3," he didnt forget to say anything you know why  because he isnt a liar like you are  nice bunch of lies and conspiracy bullshit you tweeted there psycho grandpa",Negative,
 -2," youre the most despicable president in history youve been in office for over a year and still youre trying to discredit your former opponent you think about hillary more than the rest of the  think about gaysex",Negative,
  0,"  watch your back prez",Neutral,
 -1," mcmaster didnt forget to say that he didnt say it because its not true",Negative,
 -4," mcmaster fucked up and forgot the entire lie now here are some stinking red herring fallacies  not relevant provocative distractions for the trumpturds fish stinks from the head downfuckyoutrumptheresistance ",Negative,
  0," please  your mouth",Neutral,
 -3," you are unfit to serve resign",Negative,
 -5," mcmaster didnt forget anything this is perhaps one of your most desperate and delusional tweets you are falling apart faster every day do you  feel the walls closing in resign loser",Negative,
 -1," forgot to lie",Negative,
 -7," he did not forget to say that he just refused to lie on your behalf  and should receive praise for not lying for you  so put your phone down quit making a fool of yourself go play golf and fall in a water hazard please",Negative,
  2," shut up trump there coming after you it doesnt matter what you tweet we arent listening to your bull",Positive,
  0," just resign",Neutral,
 -2," the democrats goal all along to protect their scamming of america and destroy anyone who would attempt to disband their schemes yes the dems and their tools the fbi and media will persist in their sedition and treason against potus until stopped",Negative,
  0," get some sleep since your twitter follower count started going down youve been looking really tired and oldps get some better toupee tape",Neutral,
  0," feeling the heat tonight ",Neutral,
 -4," he basically called your claims of a witch hunt fake news hoax a lie zero days since you mentioned hillary",Negative,
  3," we sir will always be grateful for what you do for america on the front lines in this the war against the fakeevilcorrupt and relentless left in all its manifestations there is much work still left to be done i think your real approval ratings in our hearts is soaring",Positive,
  3," this from the president who only won the electoral college not the popular vote",Positive,
 -2," cant wait until you are out of office maybe in jail you pos",Negative,
  0," thepisstapeisreal you are a fakepresident timesup",Neutral,
  3," we dont think so just be quiet play gold and have a big mac",Positive,
 -4," pig stain on your fat chin  what do you hope to find down in the pig mine",Negative,
 -2," you forgot to say that your ag is incompetent and cant prosecute hilllary or is that by design",Negative,
  0," just because you prefer lying doesnt mean mcmaster needs to do it too",Neutral,
 -4," you are insane and an embarrassment to our country resign traitor",Negative,
  0," just more proof of your senility its called  living in a delusional past perhaps you should be put in a nursing home one where you have removed regulations lie in your own crapbed soresetc  you are vileamerica knows the truth",Neutral,
 -1," remember when michael flynn lies about his foreign contacts and working on behalf of turkey remember when you instructed  to lie about meeting with russians remember praising putin and duerte remember how small your inauguration crowd was",Negative,
 -4," piss off and go drown your sorrows with that bedtime bigmac you selfserving corrupt pos if you could go one day without lying it would probably be a snowy day in hell where coincidentally the tenants are dreading your arrival trumplies trumprussia ",Negative,
  0," hows your wife these days",Neutral,
  1," possibly the most unhinged thing youve ever done mr president",Positive,
 -3," i need to see those tax returns seriously",Negative,
  0," oxford comma",Neutral,
 -6," haha so much whining your own people know what happened in this scandal they know what options you do and do not have left and theyre placing their bets with mueller and against you sinking worthless traitor",Negative,
  2," youve gone from  theres nothing in this to  even if we found something in the previously mentioned nothing it didnt change anything",Positive,
  0," whoa guilty man",Neutral,
 -3," enjoy the pits of hell you liar  you and your evil spawn were in on the russian election tampering  fuck off",Negative,
 -5," i must disagree he absolutely did not forget to say anything the election was impacted and you were involved in conspiracy to commit treason you wont even impose the congress approved sanctions against russia for their attack on our country you violated your oath of office",Negative,
  0," i see youre doing your usual divertattack thing lets get back to the matter at handwhat are you going to do to prevent the next mass school shooting ",Neutral,
 -5," no he didnt forget because unlike you he read the indictment and it didnt mention uranium dossier or podesta in it facepalm fail weak liarinchief blowhard moron russiagate stormydaniels karenmcdougal",Negative,
 -2," you seem to think you know alot about clinton dirt involving russia which is funny considering that meeting your son took to get dirt on clinton involving russia ",Negative,
 -7," he didnt forget because he cant say that because he doesnt know the election wasnt impacted it probably was collusion was from everyone in your party stop lying and making terrible accusations yourself you corrupt russian puppet",Negative,
 -2," he didnt forget he simply did not want to lie",Negative,
  6," sir please get some rest the truth will come out eventually as it always does your duty now is the welfare of the people of the united states even the haters and losers it is your duty to do the best possible things for our health our environment and our economy",Positive,
 -3," distraction distraction distraction",Negative,
